user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned,age_group,Engagement_Score,Cluster
40,Male,17,DE,Family,260,44,0.5,desktop,0,1,1,18-24,258.7,0
41,Female,51,UK,Premium,122,16,0.54,desktop,0,1,0,50+,121.3412,2
42,Female,46,US,Student,255,14,0.39,desktop,0,1,0,35-50,254.0055,0
43,Male,22,DE,Family,49,39,0.51,mobile,0,1,0,18-24,48.7501,1
44,Male,37,DE,Family,90,89,0.4,mobile,0,1,0,35-50,89.64,1
45,Male,39,PK,Family,288,69,0.48,web,0,1,0,35-50,286.6176,0
46,Female,18,PK,Premium,255,3,0.39,web,0,1,0,18-24,254.0055,0
47,Female,56,CA,Student,255,75,0.58,desktop,0,1,0,50+,253.521,0
48,Male,58,US,Family,26,23,0.08,mobile,0,1,0,50+,25.9792,1
49,Other,59,US,Family,238,60,0.29,desktop,0,1,0,50+,237.3098,0
50,Male,50,PK,Free,241,7,0.56,desktop,22,0,1,50+,239.6504,0
51,Female,45,CA,Premium,124,98,0.36,desktop,0,1,0,35-50,123.5536,2
52,Other,56,FR,Premium,175,67,0.38,web,0,1,0,50+,174.335,2
53,Female,38,AU,Free,41,3,0,desktop,43,0,1,35-50,41,1
54,Male,57,DE,Free,222,96,0.26,web,15,0,0,50+,221.4228,0
55,Female,46,UK,Family,121,71,0.32,desktop,0,1,0,35-50,120.6128,2
56,Female,41,IN,Family,277,2,0.59,web,0,1,0,35-50,275.3657,0
57,Other,19,IN,Free,107,82,0.11,desktop,12,0,1,18-24,106.8823,2
58,Male,48,FR,Student,198,63,0.23,desktop,0,1,0,35-50,197.5446,2
59,Other,22,DE,Free,59,51,0.42,desktop,19,0,0,18-24,58.7522,1
60,Other,17,IN,Student,95,79,0.53,web,0,1,1,18-24,94.4965,1
61,Female,25,UK,Premium,262,23,0.17,web,0,1,0,25-34,261.5546,0
62,Other,49,PK,Student,169,26,0.56,mobile,0,1,0,35-50,168.0536,2
63,Other,59,IN,Free,25,32,0.2,mobile,38,0,0,50+,24.95,1
64,Female,45,CA,Family,55,67,0.51,mobile,0,1,1,35-50,54.7195,1
65,Male,45,IN,Student,161,42,0.4,desktop,0,1,1,35-50,160.356,2
66,Other,21,FR,Family,77,42,0.56,web,0,1,0,18-24,76.5688,1
67,Male,45,DE,Free,152,32,0.49,mobile,14,0,1,35-50,151.2552,2
68,Female,45,UK,Free,156,51,0.14,desktop,18,0,0,35-50,155.7816,2
69,Other,22,AU,Student,99,43,0.17,desktop,0,1,0,18-24,98.8317,1
70,Female,56,US,Free,181,40,0.21,mobile,10,0,0,50+,180.6199,2
71,Other,51,AU,Student,265,81,0.36,web,0,1,0,50+,264.046,0
72,Female,22,AU,Family,131,70,0.35,web,0,1,0,18-24,130.5415,2
73,Other,33,CA,Student,19,68,0.32,desktop,0,1,1,25-34,18.9392,1
74,Other,59,AU,Family,201,15,0.05,mobile,0,1,0,50+,200.8995,2
75,Male,41,DE,Family,223,53,0.33,web,0,1,0,35-50,222.2641,0
76,Male,25,UK,Premium,111,83,0.19,desktop,0,1,0,25-34,110.7891,2
77,Male,41,FR,Family,81,6,0.47,mobile,0,1,0,35-50,80.6193,1
78,Other,30,FR,Family,124,73,0.43,mobile,0,1,0,25-34,123.4668,2
79,Male,23,US,Free,13,30,0.24,mobile,32,0,0,18-24,12.9688,1
80,Female,47,PK,Premium,31,72,0.53,desktop,0,1,1,35-50,30.8357,1
81,Male,34,AU,Premium,277,87,0.3,web,0,1,0,35-50,276.169,0
82,Other,45,FR,Student,181,69,0.59,web,0,1,0,35-50,179.9321,2
83,Other,32,PK,Free,167,4,0.56,mobile,35,0,0,25-34,166.0648,2
84,Other,51,CA,Free,105,11,0.03,web,29,0,0,50+,104.9685,1
85,Other,21,FR,Student,202,79,0.45,desktop,0,1,0,18-24,201.091,2
86,Female,20,IN,Family,284,38,0.23,web,0,1,0,18-24,283.3468,0
87,Male,21,US,Premium,125,82,0.43,web,0,1,0,18-24,124.4625,2
88,Female,44,UK,Free,237,36,0.37,web,20,0,0,35-50,236.1231,0
89,Other,50,PK,Family,99,15,0.15,mobile,0,1,0,50+,98.8515,1
90,Other,52,DE,Student,224,49,0.38,desktop,0,1,0,50+,223.1488,0
91,Male,43,UK,Free,195,80,0.17,web,28,0,0,35-50,194.6685,2
92,Female,41,PK,Premium,173,85,0.22,web,0,1,0,35-50,172.6194,2
93,Female,57,IN,Family,210,7,0.25,web,0,1,0,50+,209.475,0
94,Other,50,UK,Free,85,7,0.45,desktop,44,0,0,50+,84.6175,1
95,Female,35,FR,Family,93,1,0.4,mobile,0,1,0,35-50,92.628,1
96,Other,51,IN,Student,222,97,0.03,desktop,0,1,1,50+,221.9334,0
97,Male,34,CA,Premium,196,69,0.07,web,0,1,0,35-50,195.8628,2
98,Female,47,US,Family,215,13,0.02,mobile,0,1,1,35-50,214.957,0
99,Male,19,PK,Family,22,45,0.29,web,0,1,1,18-24,21.9362,1
100,Female,30,UK,Student,283,13,0.02,desktop,0,1,0,25-34,282.9434,0
101,Female,27,FR,Free,40,15,0.5,web,16,0,0,25-34,39.8,1
102,Male,25,DE,Student,251,91,0.12,desktop,0,1,0,25-34,250.6988,0
103,Female,47,AU,Family,240,61,0.56,mobile,0,1,0,35-50,238.656,0
104,Male,33,US,Family,160,76,0.06,web,0,1,0,25-34,159.904,2
105,Male,46,CA,Free,114,11,0.24,web,19,0,0,35-50,113.7264,2
106,Other,50,AU,Student,251,9,0.39,web,0,1,0,50+,250.0211,0
107,Male,31,FR,Student,181,89,0.11,desktop,0,1,1,25-34,180.8009,2
108,Female,45,FR,Premium,215,16,0.26,web,0,1,0,35-50,214.441,0
109,Male,51,FR,Student,119,11,0.05,desktop,0,1,0,50+,118.9405,2
110,Other,33,CA,Premium,224,34,0.11,mobile,0,1,0,25-34,223.7536,0
111,Male,42,DE,Premium,31,61,0.29,mobile,0,1,0,35-50,30.9101,1
112,Male,16,CA,Family,17,10,0.27,desktop,0,1,0,<18,16.9541,1
113,Other,31,FR,Student,174,29,0.13,desktop,0,1,1,25-34,173.7738,2
114,Male,40,AU,Family,31,48,0.33,web,0,1,0,35-50,30.8977,1
115,Male,57,FR,Student,84,40,0.58,desktop,0,1,0,50+,83.5128,1
116,Female,17,CA,Free,198,31,0.07,web,6,0,0,18-24,197.8614,2
117,Male,31,CA,Student,272,40,0.12,desktop,0,1,1,25-34,271.6736,0
118,Other,45,UK,Family,21,73,0.16,web,0,1,0,35-50,20.9664,1
119,Male,59,PK,Family,251,47,0.14,mobile,0,1,0,50+,250.6486,0
120,Other,49,PK,Family,95,81,0.36,mobile,0,1,0,35-50,94.658,1
121,Male,59,IN,Student,169,20,0.18,desktop,0,1,1,50+,168.6958,2
122,Male,47,DE,Premium,35,20,0.32,desktop,0,1,1,35-50,34.888,1
123,Male,21,US,Free,32,34,0.52,web,14,0,1,18-24,31.8336,1
124,Female,28,DE,Free,55,67,0.53,desktop,7,0,0,25-34,54.7085,1
125,Female,47,US,Family,120,26,0.48,desktop,0,1,0,35-50,119.424,2
126,Female,46,IN,Free,11,67,0.4,desktop,36,0,1,35-50,10.956,1
127,Female,20,US,Premium,194,52,0.2,mobile,0,1,0,18-24,193.612,2
128,Female,34,PK,Premium,81,85,0.29,web,0,1,0,35-50,80.7651,1
129,Other,24,DE,Free,217,52,0.45,web,23,0,0,25-34,216.0235,0
130,Male,40,US,Premium,11,11,0.42,web,0,1,1,35-50,10.9538,1
131,Male,48,UK,Free,72,35,0.53,desktop,22,0,0,35-50,71.6184,1
132,Other,47,PK,Premium,162,94,0.29,desktop,0,1,0,35-50,161.5302,2
133,Female,33,IN,Family,271,57,0.36,mobile,0,1,1,25-34,270.0244,0
134,Male,20,US,Premium,218,6,0.02,desktop,0,1,1,18-24,217.9564,0
135,Other,55,DE,Family,94,24,0.3,web,0,1,0,50+,93.718,1
136,Male,58,CA,Student,295,72,0.43,desktop,0,1,0,50+,293.7315,0
137,Other,41,US,Premium,286,35,0.42,desktop,0,1,0,35-50,284.7988,0
138,Other,53,US,Student,298,37,0.5,mobile,0,1,0,50+,296.51,0
139,Female,50,CA,Family,261,20,0.39,desktop,0,1,1,50+,259.9821,0
140,Other,55,US,Free,201,82,0.5,desktop,27,0,1,50+,199.995,2
141,Female,56,US,Free,40,84,0.56,web,49,0,0,50+,39.776,1
142,Other,18,AU,Premium,30,78,0.42,mobile,0,1,0,18-24,29.874,1
143,Male,29,CA,Student,109,88,0.45,web,0,1,1,25-34,108.5095,2
144,Female,28,UK,Premium,171,19,0.48,mobile,0,1,1,25-34,170.1792,2
145,Male,24,PK,Family,223,31,0.09,mobile,0,1,0,25-34,222.7993,0
146,Other,44,AU,Family,52,17,0.2,desktop,0,1,0,35-50,51.896,1
147,Other,18,IN,Family,195,94,0.49,desktop,0,1,0,18-24,194.0445,2
148,Other,40,PK,Premium,198,78,0,desktop,0,1,0,35-50,198,2
149,Other,22,DE,Student,285,2,0.3,desktop,0,1,0,18-24,284.145,0
150,Male,34,FR,Premium,278,83,0.24,desktop,0,1,0,35-50,277.3328,0
151,Male,44,AU,Premium,251,57,0.37,desktop,0,1,0,35-50,250.0713,0
152,Male,58,US,Student,158,52,0.27,mobile,0,1,0,50+,157.5734,2
153,Female,41,PK,Family,14,41,0.59,web,0,1,0,35-50,13.9174,1
154,Female,52,UK,Premium,280,81,0.27,desktop,0,1,1,50+,279.244,0
155,Male,26,IN,Student,257,14,0.13,web,0,1,0,25-34,256.6659,0
156,Other,42,CA,Family,21,76,0.56,web,0,1,1,35-50,20.8824,1
157,Other,27,PK,Free,237,27,0.16,web,40,0,0,25-34,236.6208,0
158,Other,48,DE,Free,224,53,0.07,mobile,43,0,0,35-50,223.8432,0
159,Other,24,AU,Family,216,76,0.28,mobile,0,1,0,25-34,215.3952,0
160,Other,34,CA,Premium,137,97,0.32,web,0,1,0,35-50,136.5616,2
161,Other,28,DE,Free,209,84,0.53,web,28,0,0,25-34,207.8923,0
162,Female,17,FR,Free,36,30,0.19,mobile,43,0,1,18-24,35.9316,1
163,Other,50,PK,Free,95,50,0.49,desktop,31,0,1,50+,94.5345,1
164,Female,35,AU,Premium,298,25,0.11,mobile,0,1,1,35-50,297.6722,0
165,Male,20,DE,Family,224,51,0.23,desktop,0,1,1,18-24,223.4848,0
166,Female,50,PK,Free,205,43,0.48,desktop,47,0,0,50+,204.016,0
167,Male,23,FR,Student,95,31,0.37,web,0,1,0,18-24,94.6485,1
168,Other,20,UK,Free,289,17,0.28,desktop,35,0,0,18-24,288.1908,0
169,Male,51,CA,Premium,168,28,0.54,web,0,1,0,50+,167.0928,2
170,Female,18,PK,Free,211,48,0.48,mobile,23,0,1,18-24,209.9872,0
171,Male,29,DE,Premium,63,99,0.38,mobile,0,1,0,25-34,62.7606,1
172,Male,39,DE,Free,124,83,0.52,mobile,35,0,0,35-50,123.3552,2
173,Other,51,CA,Family,275,56,0.05,web,0,1,0,50+,274.8625,0
174,Male,24,PK,Student,120,38,0.11,mobile,0,1,0,25-34,119.868,2
175,Male,20,DE,Free,64,20,0.16,mobile,20,0,1,18-24,63.8976,1
176,Female,57,UK,Premium,121,86,0.08,web,0,1,1,50+,120.9032,2
177,Other,16,AU,Free,184,12,0.2,desktop,15,0,0,<18,183.632,2
178,Male,18,PK,Family,219,54,0.06,web,0,1,0,18-24,218.8686,0
179,Male,16,DE,Free,184,40,0.01,mobile,9,0,0,<18,183.9816,2
180,Female,50,UK,Family,30,37,0.25,desktop,0,1,1,50+,29.925,1
181,Male,23,DE,Free,55,46,0.41,desktop,7,0,0,18-24,54.7745,1
182,Female,53,AU,Premium,38,4,0.09,mobile,0,1,0,50+,37.9658,1
183,Male,58,CA,Premium,281,58,0.16,desktop,0,1,0,50+,280.5504,0
184,Female,31,DE,Premium,140,57,0.35,mobile,0,1,1,25-34,139.51,2
185,Female,19,US,Student,130,17,0.35,desktop,0,1,0,18-24,129.545,2
186,Female,36,US,Student,238,82,0.35,web,0,1,1,35-50,237.167,0
187,Other,19,PK,Premium,295,53,0.55,web,0,1,1,18-24,293.3775,0
188,Other,26,IN,Free,265,31,0.41,web,38,0,0,25-34,263.9135,0
189,Other,16,US,Student,179,80,0.6,desktop,0,1,0,<18,177.926,2
190,Other,49,AU,Free,198,4,0.1,desktop,36,0,0,35-50,197.802,2
191,Female,55,UK,Premium,180,17,0.08,web,0,1,0,50+,179.856,2
192,Other,21,DE,Student,267,89,0.52,web,0,1,0,18-24,265.6116,0
193,Other,48,CA,Free,126,22,0.58,mobile,45,0,0,35-50,125.2692,2
194,Female,38,IN,Family,233,94,0.29,web,0,1,1,35-50,232.3243,0
195,Male,59,PK,Student,161,95,0.59,desktop,0,1,1,50+,160.0501,2
196,Female,31,CA,Student,100,70,0.43,mobile,0,1,0,25-34,99.57,1
197,Female,24,US,Student,240,45,0.53,web,0,1,1,25-34,238.728,0
198,Male,55,UK,Student,170,95,0.45,mobile,0,1,0,50+,169.235,2
199,Male,53,UK,Family,150,29,0.18,desktop,0,1,0,50+,149.73,2
200,Other,31,US,Family,203,79,0.15,web,0,1,0,25-34,202.6955,0
201,Female,49,AU,Free,226,31,0.24,desktop,32,0,0,35-50,225.4576,0
202,Other,49,UK,Premium,31,93,0.03,desktop,0,1,0,35-50,30.9907,1
203,Female,33,DE,Premium,81,34,0.09,mobile,0,1,0,25-34,80.9271,1
204,Other,59,PK,Free,62,99,0.55,mobile,5,0,0,50+,61.659,1
205,Female,58,AU,Free,202,22,0.45,mobile,36,0,0,50+,201.091,0
206,Other,49,PK,Free,207,33,0.09,web,9,0,1,35-50,206.8137,0
207,Male,42,DE,Student,20,38,0.6,web,0,1,0,35-50,19.88,1
208,Other,24,AU,Free,113,42,0.56,desktop,32,0,1,25-34,112.3672,2
209,Male,33,IN,Free,168,42,0.12,desktop,49,0,0,25-34,167.7984,2
210,Other,20,IN,Student,251,79,0.37,web,0,1,0,18-24,250.0713,0
211,Other,42,IN,Free,222,95,0.04,desktop,29,0,0,35-50,221.9112,0
212,Female,16,DE,Free,74,33,0.12,mobile,13,0,0,<18,73.9112,1
213,Male,37,CA,Premium,139,71,0.16,desktop,0,1,0,35-50,138.7776,2
214,Female,26,FR,Free,160,23,0.06,web,45,0,0,25-34,159.904,2
215,Other,46,US,Premium,37,94,0.37,web,0,1,0,35-50,36.8631,1
216,Male,36,US,Family,199,4,0.12,desktop,0,1,0,35-50,198.7612,2
217,Other,32,FR,Free,204,87,0.42,desktop,14,0,0,25-34,203.1432,0
218,Other,18,IN,Family,181,67,0.56,desktop,0,1,1,18-24,179.9864,2
219,Other,20,DE,Premium,269,4,0.31,web,0,1,0,18-24,268.1661,0
220,Female,19,IN,Free,245,9,0.07,mobile,42,0,0,18-24,244.8285,0
221,Other,34,CA,Student,50,54,0.59,web,0,1,0,35-50,49.705,1
222,Other,50,DE,Student,272,46,0.12,web,0,1,0,50+,271.6736,0
223,Other,36,FR,Family,271,26,0.5,web,0,1,0,35-50,269.645,0
224,Other,53,DE,Student,252,68,0.04,web,0,1,1,50+,251.8992,0
225,Female,31,PK,Student,155,2,0.36,desktop,0,1,1,25-34,154.442,2
226,Female,40,FR,Free,66,80,0.02,mobile,48,0,1,35-50,65.9868,1
227,Female,41,CA,Student,51,26,0.19,web,0,1,0,35-50,50.9031,1
228,Male,27,UK,Free,174,6,0.54,mobile,7,0,0,25-34,173.0604,2
229,Other,52,DE,Student,165,20,0.01,desktop,0,1,1,50+,164.9835,2
230,Other,49,AU,Premium,73,39,0.11,mobile,0,1,0,35-50,72.9197,1
231,Male,51,DE,Student,10,11,0.09,web,0,1,0,50+,9.991,1
232,Female,19,FR,Premium,279,26,0.03,web,0,1,0,18-24,278.9163,0
233,Male,41,UK,Free,222,4,0.06,mobile,26,0,1,35-50,221.8668,0
234,Male,49,DE,Premium,39,6,0.54,web,0,1,0,35-50,38.7894,1
235,Male,17,FR,Premium,40,97,0.08,mobile,0,1,1,18-24,39.968,1
236,Female,22,UK,Premium,254,86,0.45,desktop,0,1,1,18-24,252.857,0
237,Male,31,UK,Family,227,23,0.55,mobile,0,1,1,25-34,225.7515,0
238,Female,19,FR,Premium,244,5,0.34,web,0,1,0,18-24,243.1704,0
239,Female,37,CA,Free,113,85,0.23,mobile,27,0,1,35-50,112.7401,2
240,Female,43,UK,Free,218,6,0.01,mobile,15,0,1,35-50,217.9782,0
241,Male,29,UK,Free,144,94,0.33,desktop,19,0,0,25-34,143.5248,2
242,Female,51,CA,Premium,143,48,0.09,web,0,1,0,50+,142.8713,2
243,Male,41,CA,Premium,110,61,0.44,mobile,0,1,0,35-50,109.516,2
244,Other,24,FR,Family,283,90,0.53,web,0,1,0,25-34,281.5001,0
245,Other,19,PK,Premium,276,15,0.28,mobile,0,1,0,18-24,275.2272,0
246,Male,48,IN,Premium,178,70,0.29,desktop,0,1,0,35-50,177.4838,2
247,Other,37,US,Premium,114,13,0.49,desktop,0,1,0,35-50,113.4414,2
248,Female,59,US,Free,98,24,0.32,mobile,8,0,0,50+,97.6864,1
249,Female,54,IN,Family,49,27,0.29,mobile,0,1,0,50+,48.8579,1
250,Female,36,AU,Premium,28,39,0.27,web,0,1,0,35-50,27.9244,1
251,Other,58,FR,Premium,259,67,0.17,mobile,0,1,0,50+,258.5597,0
252,Other,20,CA,Free,279,84,0.43,desktop,24,0,0,18-24,277.8003,0
253,Other,18,AU,Premium,139,58,0.09,web,0,1,1,18-24,138.8749,2
254,Female,35,DE,Free,53,97,0.45,desktop,29,0,0,35-50,52.7615,1
255,Male,57,UK,Family,255,82,0.19,mobile,0,1,0,50+,254.5155,0
256,Other,55,CA,Premium,259,20,0.01,mobile,0,1,0,50+,258.9741,0
257,Other,53,PK,Free,112,33,0.34,mobile,30,0,0,50+,111.6192,2
258,Other,22,US,Premium,260,75,0.36,web,0,1,0,18-24,259.064,0
259,Other,51,IN,Premium,91,3,0.49,desktop,0,1,0,50+,90.5541,1
260,Female,43,PK,Free,92,18,0.19,mobile,25,0,0,35-50,91.8252,1
261,Other,37,AU,Free,140,14,0.02,mobile,31,0,0,35-50,139.972,2
262,Male,29,US,Premium,259,28,0.19,desktop,0,1,1,25-34,258.5079,0
263,Male,17,UK,Student,119,73,0.22,desktop,0,1,0,18-24,118.7382,2
264,Male,36,IN,Student,99,92,0.54,web,0,1,1,35-50,98.4654,1
265,Male,53,AU,Free,265,49,0.2,desktop,41,0,1,50+,264.47,0
266,Female,54,IN,Premium,299,93,0.27,mobile,0,1,1,50+,298.1927,0
267,Female,59,AU,Free,255,75,0.56,web,38,0,0,50+,253.572,0
268,Other,42,DE,Family,157,96,0.48,web,0,1,1,35-50,156.2464,2
269,Other,36,AU,Family,176,15,0.11,mobile,0,1,0,35-50,175.8064,2
270,Female,22,AU,Student,146,45,0.44,mobile,0,1,0,18-24,145.3576,2
271,Male,19,DE,Family,211,64,0.15,mobile,0,1,0,18-24,210.6835,0
272,Male,47,IN,Premium,191,42,0.52,mobile,0,1,1,35-50,190.0068,2
273,Male,29,CA,Premium,218,72,0.29,mobile,0,1,0,25-34,217.3678,0
274,Other,32,CA,Family,128,94,0.48,web,0,1,0,25-34,127.3856,2
275,Other,47,US,Free,30,10,0.38,web,37,0,0,35-50,29.886,1
276,Male,30,DE,Family,176,17,0.35,mobile,0,1,0,25-34,175.384,2
277,Male,23,UK,Premium,50,45,0.08,mobile,0,1,0,18-24,49.96,1
278,Other,37,FR,Free,267,72,0.12,desktop,38,0,0,35-50,266.6796,0
279,Other,17,PK,Student,20,84,0.45,web,0,1,0,18-24,19.91,1
280,Female,45,US,Family,134,92,0.31,mobile,0,1,0,35-50,133.5846,2
281,Female,42,AU,Student,282,57,0.31,mobile,0,1,0,35-50,281.1258,0
282,Male,42,US,Premium,52,55,0.05,web,0,1,1,35-50,51.974,1
283,Other,31,AU,Premium,97,37,0.59,web,0,1,0,25-34,96.4277,1
284,Female,53,IN,Free,58,63,0.45,mobile,45,0,0,50+,57.739,1
285,Other,47,AU,Premium,126,71,0.29,desktop,0,1,1,35-50,125.6346,2
286,Female,40,FR,Premium,172,48,0.54,web,0,1,0,35-50,171.0712,2
287,Female,35,PK,Free,258,36,0.2,desktop,24,0,1,35-50,257.484,0
288,Female,33,IN,Free,291,31,0.29,desktop,39,0,0,25-34,290.1561,0
289,Other,44,DE,Free,27,96,0.04,desktop,27,0,1,35-50,26.9892,1
290,Other,41,UK,Family,262,32,0.47,desktop,0,1,0,35-50,260.7686,0
291,Male,32,DE,Premium,52,52,0.47,desktop,0,1,1,25-34,51.7556,1
292,Other,20,CA,Student,108,26,0.17,web,0,1,0,18-24,107.8164,2
293,Male,51,US,Premium,235,5,0.28,desktop,0,1,0,50+,234.342,0
294,Female,25,US,Student,213,36,0.28,web,0,1,0,25-34,212.4036,0
295,Other,32,PK,Premium,169,6,0.13,web,0,1,1,25-34,168.7803,2
296,Female,34,DE,Student,158,84,0.1,mobile,0,1,1,35-50,157.842,2
297,Male,34,DE,Premium,293,30,0.16,desktop,0,1,0,35-50,292.5312,0
298,Male,45,DE,Premium,99,84,0.58,web,0,1,1,35-50,98.4258,1
299,Female,45,US,Student,194,40,0.59,desktop,0,1,0,35-50,192.8554,2
300,Other,50,US,Premium,126,86,0.52,mobile,0,1,0,50+,125.3448,2
301,Female,45,UK,Family,102,18,0.08,mobile,0,1,0,35-50,101.9184,1
302,Female,55,PK,Free,210,32,0.15,web,29,0,1,50+,209.685,0
303,Female,32,US,Free,134,71,0.43,mobile,14,0,0,25-34,133.4238,2
304,Male,48,UK,Premium,62,25,0.53,web,0,1,0,35-50,61.6714,1
305,Other,36,US,Premium,183,29,0.53,web,0,1,0,35-50,182.0301,2
306,Other,39,DE,Premium,279,97,0.36,mobile,0,1,0,35-50,277.9956,0
307,Other,59,CA,Premium,159,48,0.21,mobile,0,1,1,50+,158.6661,2
308,Male,23,US,Premium,187,22,0.14,desktop,0,1,1,18-24,186.7382,2
309,Other,41,UK,Family,57,3,0.41,mobile,0,1,0,35-50,56.7663,1
310,Female,31,FR,Family,133,88,0.07,desktop,0,1,0,25-34,132.9069,2
311,Male,48,IN,Student,168,78,0.41,desktop,0,1,0,35-50,167.3112,2
312,Female,21,AU,Family,251,47,0.55,mobile,0,1,0,18-24,249.6195,0
313,Other,18,AU,Family,71,18,0,web,0,1,0,18-24,71,1
314,Female,25,FR,Student,178,84,0.32,desktop,0,1,0,25-34,177.4304,2
315,Male,56,IN,Student,206,64,0.1,mobile,0,1,1,50+,205.794,0
316,Male,34,FR,Free,36,12,0.22,mobile,44,0,0,35-50,35.9208,1
317,Other,25,CA,Family,122,69,0.09,web,0,1,0,25-34,121.8902,2
318,Male,24,PK,Premium,158,51,0.26,web,0,1,0,25-34,157.5892,2
319,Other,41,FR,Student,223,79,0.05,mobile,0,1,0,35-50,222.8885,0
320,Male,38,IN,Student,251,65,0.44,desktop,0,1,0,35-50,249.8956,0
321,Other,19,US,Family,294,5,0.44,web,0,1,0,18-24,292.7064,0
322,Other,25,IN,Student,12,2,0.34,web,0,1,1,25-34,11.9592,1
323,Male,55,IN,Family,218,58,0.36,desktop,0,1,0,50+,217.2152,0
324,Male,17,UK,Free,49,26,0.54,desktop,12,0,0,18-24,48.7354,1
325,Female,50,FR,Student,66,13,0.58,mobile,0,1,1,50+,65.6172,1
326,Other,39,DE,Free,295,20,0.09,mobile,21,0,1,35-50,294.7345,0
327,Male,26,AU,Student,131,98,0.24,desktop,0,1,0,25-34,130.6856,2
328,Other,34,UK,Free,203,10,0.1,desktop,42,0,0,35-50,202.797,0
329,Female,32,CA,Premium,201,38,0.44,web,0,1,0,25-34,200.1156,2
330,Female,40,CA,Student,59,35,0.37,desktop,0,1,0,35-50,58.7817,1
331,Male,32,US,Family,119,39,0.45,web,0,1,0,25-34,118.4645,2
332,Female,51,CA,Premium,219,96,0.51,web,0,1,1,50+,217.8831,0
333,Male,46,CA,Family,152,83,0.58,mobile,0,1,0,35-50,151.1184,2
334,Female,51,CA,Premium,157,9,0.57,web,0,1,0,50+,156.1051,2
335,Female,38,CA,Free,89,59,0.15,mobile,21,0,0,35-50,88.8665,1
336,Female,54,FR,Family,63,68,0.21,mobile,0,1,0,50+,62.8677,1
337,Male,59,UK,Premium,93,36,0.39,desktop,0,1,0,50+,92.6373,1
338,Other,41,AU,Student,97,78,0.02,web,0,1,0,35-50,96.9806,1
